__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781282261.218640,2.428949301,-13.877687264,0.000000000,,,,,
1781282261.218735,2.844211828,-15.805373119,0.000000000,,,,,
1781282261.218743,,,,1781282261.218062639,0.790067525,0.156043451,-0.810802198,-0.853995863
1781282261.220158,2.833925736,-15.772089180,0.000000000,,,,,
1781282261.220220,,,,1781282261.219622135,0.790266164,0.159571213,-0.811889720,-0.873629464
1781282261.220286,2.770164253,-15.493446656,0.000000000,,,,,
1781282261.220763,,,,1781282261.220243931,0.790438510,0.162509058,-0.812833657,-0.890060744
1781282261.221922,2.716750092,-15.260113606,0.000000000,,,,,
1781282261.223258,,,,1781282261.221441269,0.790578125,0.164810474,-0.813598597,-0.902987907
1781282261.223413,2.674695287,-15.076457937,0.000000000,,,,,
1781282261.223421,,,,1781282261.222538948,0.790731570,0.167264186,-0.814439668,-0.916818748
1781282261.224086,3.054927117,-16.844397602,0.000000000,,,,,
1781282261.224176,,,,1781282261.223831892,0.790977577,0.171642678,-0.815788307,-0.940961082
1781282261.225146,2.975881847,-16.500135955,0.000000000,,,,,
1781282261.225264,,,,1781282261.224850416,0.791177679,0.175044552,-0.816885527,-0.959823179
1781282261.226129,2.914047606,-16.230967262,0.000000000,,,,,
1781282261.226379,,,,1781282261.225872755,0.791358414,0.178003310,-0.817876809,-0.976303178
1781282261.229429,2.950345653,-16.413235901,0.000000000,,,,,
1781282261.230826,,,,1781282261.229030609,0.791863878,0.186020157,-0.820650863,-1.020902158
1781282261.231760,2.803569471,-15.775320918,0.000000000,,,,,
1781282261.231906,,,,1781282261.231504679,0.792360949,0.193232062,-0.823381422,-1.061482610
1781282261.232953,3.020795396,-16.815557038,0.000000000,,,,,
1781282261.233090,,,,1781282261.232741594,0.792639969,0.197499733,-0.824914608,-1.085239023
1781282261.234231,3.078631503,-17.105849996,0.000000000,,,,,
1781282261.235222,,,,1781282261.234112024,0.792926134,0.201864032,-0.826487430,-1.109488447
1781282261.236305,2.998003592,-16.756955624,0.000000000,,,,,
1781282261.236391,,,,1781282261.236224174,0.793428512,0.209068066,-0.829250226,-1.149754473
1781282261.236806,2.943770139,-16.546177726,0.000000000,,,,,
1781282261.236898,,,,1781282261.236686230,0.793557590,0.210870004,-0.829960212,-1.159882703
1781282261.237689,3.127024188,-17.402940012,0.000000000,,,,,
1781282261.237780,,,,1781282261.237520218,0.793727033,0.213353446,-0.830892352,-1.173703892
1781282261.238710,3.080758994,-17.203318096,0.000000000,,,,,
1781282261.238830,,,,1781282261.238640785,0.793947175,0.216486230,-0.832103666,-1.191197722
1781282261.239808,3.102683795,-17.322561135,0.000000000,,,,,
1781282261.239875,,,,1781282261.239592314,0.794175362,0.219708652,-0.833359520,-1.209188796
1781282261.240735,3.042297324,-17.062310415,0.000000000,,,,,
1781282261.240825,,,,1781282261.240614891,0.794406972,0.222870250,-0.834634552,-1.226920188
1781282261.242013,3.101891542,-17.356282732,0.000000000,,,,,
1781282261.242179,,,,1781282261.241687775,0.794616665,0.225751489,-0.835789170,-1.243041831
1781282261.243014,3.047612358,-17.122665681,0.000000000,,,,,
1781282261.243127,,,,1781282261.242715359,0.794870283,0.229124888,-0.837186071,-1.261994893
1781282261.243884,3.043140761,-17.122549173,0.000000000,,,,,
1781282261.243975,,,,1781282261.243700266,0.795110633,0.232273836,-0.838510278,-1.279712776
1781282261.244802,3.037335783,-17.115089655,0.000000000,,,,,
1781282261.244886,,,,1781282261.244684458,0.795354638,0.235421910,-0.839855034,-1.297451865
1781282261.245785,3.100044220,-17.424880635,0.000000000,,,,,
1781282261.245829,,,,1781282261.245657206,0.795596201,0.238560965,-0.841186679,-1.315096020
1781282261.248921,3.099573786,-17.442660311,0.000000000,,,,,
