__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781281682.721764,3.486655761,-6.330190220,0.000000000,,,,,
1781281682.723335,3.437000228,-6.164764682,0.000000000,,,,,
1781281682.729163,3.413034763,-6.036552382,0.000000000,,,,,
1781281682.729220,3.372481111,-5.817258164,0.000000000,,,,,
1781281682.729224,,,,1781281682.726271868,0.841172404,0.767966137,-0.961840603,-2.246555232
1781281682.729241,3.350168203,-5.740808635,0.000000000,,,,,
1781281682.729245,,,,1781281682.726944923,0.842043281,0.771730861,-0.964382990,-2.252946371
1781281682.729257,3.336125097,-5.663533764,0.000000000,,,,,
1781281682.729259,,,,1781281682.728275299,0.842912563,0.775449235,-0.966915536,-2.259176443
1781281682.729267,3.317002817,-5.557581760,0.000000000,,,,,
1781281682.729800,,,,1781281682.729012012,0.843591485,0.778326458,-0.968890332,-2.263933977
1781281682.731914,3.298489722,-5.454105264,0.000000000,,,,,
1781281682.731922,,,,1781281682.730745316,0.844688320,0.782822982,-0.972072657,-2.271261053
1781281682.731971,3.209219504,-5.229415864,0.000000000,,,,,
1781281682.732400,3.173508052,-5.079595549,0.000000000,,,,,
1781281682.732456,,,,1781281682.731616735,0.845506114,0.786124338,-0.974440915,-2.276545285
1781281682.732491,3.147049645,-4.969685314,0.000000000,,,,,
1781281682.733407,3.134834710,-4.898070515,0.000000000,,,,,
1781281682.733448,,,,1781281682.732344389,0.846185522,0.788834832,-0.976405347,-2.280825580
1781281682.733463,,,,1781281682.733170509,0.846923321,0.791756031,-0.978534990,-2.285389852
1781281682.734600,3.121895982,-4.821581924,0.000000000,,,,,
1781281682.734608,,,,1781281682.734018087,0.847552747,0.794230130,-0.980349187,-2.289210951
1781281682.735351,3.079442125,-4.696634945,0.000000000,,,,,
1781281682.735356,,,,1781281682.735197783,0.848533041,0.798012972,-0.983168382,-2.294980382
